klo	k	kup	kwlo	kw	kwup
j6_j7	0.0505752615369398	0.169047000779018	0.287518740021097	0.367904219145717	0.503767024051	0.639629828956283
j6_j8	0.0399084894909023	0.158576051779935	0.277243614068968	0.440917665073126	0.567435669920142	0.693953674767158
j6_j9	0.0786380845332399	0.200206398348813	0.321774712164387	0.468588660068697	0.593809090272428	0.719029520476159
j6_j10	-0.0401726078384326	0.0461655856543304	0.132503779147093	0.263241995609392	0.390243902439024	0.517245809268656
j6_j11	0.0932434417627252	0.215367965367965	0.337492488973205	0.267810088437604	0.40614136732329	0.544472646208977
j6_j12	0.0854560689377728	0.208614426569798	0.331772784201822	0.196067674573674	0.382042893493275	0.568018112412877
j6_j13	0.0657462705885994	0.18252479228089	0.29930331397318	0.231407259151254	0.380522911542316	0.529638563933377
j6_j14	0.0993579728464356	0.224296607941099	0.349235243035763	0.57728035947941	0.668794892258579	0.760309425037748
j6_j15	0.188583348490883	0.317047543997899	0.445511739504914	0.593392231854006	0.695681173920293	0.79797011598658
j6_j16	0.0882341643199183	0.205331966162522	0.322429768005127	0.416425293193398	0.543922268490978	0.671419243788558
j6_j17	0.0416777245781469	0.162679425837321	0.283681127096494	0.373207867306899	0.527186761229315	0.68116565515173
j6_j18	0.0839260396434672	0.203863221091099	0.323800402538731	0.465042470744405	0.57229053692813	0.679538603111854
j6_j19	0.159282341548171	0.283667621776504	0.408052902004837	0.53251265307693	0.643807734460623	0.755102815844316
j6_j20	0.153175356536304	0.279821919601938	0.406468482667572	0.455246179719167	0.579331692991507	0.703417206263848
j6_j21	0.0136396348321629	0.111562381012819	0.209485127193475	0.349504945599859	0.475546176762661	0.601587407925463
j6_j22	0.0477868804415817	0.168975069252078	0.290163258062573	0.47654947907377	0.586527694030494	0.696505908987217
j6_j23	0.0147975950708965	0.130663856691254	0.246530118311612	0.428147621040537	0.558102905145257	0.688058189249977
j6_j24	0.0832481603774463	0.210807918673087	0.338367676968728	0.259842872081896	0.429959816839548	0.6000767615972
j6_j25	0.219039598899093	0.345818368394048	0.472597137889003	0.605925446235635	0.707741453136682	0.80955746003773
klo	k	kup	kwlo	kw	kwup
j7_j1	0.0686975294423524	0.1917502787068	0.314803027971249	0.318093946312794	0.472866949983655	0.627639953654515
j7_j2	0.109693330455561	0.23096976016684	0.352246189878119	0.399424662435902	0.543928779918272	0.688432897400642
j7_j3	0.0201588197518403	0.112966344899557	0.205773870047273	0.293747248191135	0.429282526604874	0.564817805018614
j7_j4	0.0338891454724781	0.166894291177274	0.29989943688207	0.433029489172132	0.552932761087267	0.672836033002403
j7_j5	0.0518179181854105	0.155672823218997	0.259527728252584	0.451307893177027	0.561651583710407	0.671995274243787
j7_j6	0.0505752615369398	0.169047000779018	0.287518740021097	0.367904219145717	0.503767024051	0.639629828956283
j7_j8	0.0728898128828781	0.202639538080836	0.332389263278794	0.390738100692499	0.523562023562024	0.656385946431548
j7_j9	-0.0119808163069888	0.103611916688637	0.219204649684263	0.291338100353612	0.451968723820162	0.612599347286712
j7_j10	0.0509295219145315	0.173900868104172	0.296872214293813	0.359839319078431	0.500935745477229	0.642032171876028
j7_j11	-0.0167939897475734	0.0792129162462159	0.175219822240005	0.119849660506629	0.244484738591719	0.36911981667681
j7_j12	-0.0207361168562247	0.0849008642602949	0.190537845376815	0.0369315481190786	0.192015209125475	0.347098870131872
j7_j13	0.00527134517642128	0.102855698761688	0.200440052346955	0.0701977995715338	0.207211120764552	0.34422444195757
j7_j14	0.183658867473051	0.310438074634938	0.437217281796824	0.492531173019701	0.615384615384615	0.73823805774953
j7_j15	0.0955453787106417	0.218118091129685	0.340690803548727	0.438661602330289	0.568813797958465	0.69896599358664
j7_j16	0.181286827131933	0.30289775833789	0.424508689543846	0.513270104991066	0.640204271123491	0.767138437255916
j7_j17	0.0281748781296153	0.128058302967205	0.227941727804794	0.331918390319334	0.465811965811965	0.599705541304597
j7_j18	-0.0259674184677596	0.0738423028785982	0.173652024224956	0.31782302677623	0.431959274894462	0.546095523012695
j7_j19	0.0508254465580909	0.169084674228436	0.28734390189878	0.406356762983708	0.532352039251763	0.658347315519819
j7_j20	0.0991263535854093	0.230353767215771	0.361581180846133	0.520537998913018	0.638113079019074	0.755688159125129
j7_j21	0.0742850809520327	0.190622383477533	0.306959686003033	0.350897414652565	0.502796768178993	0.654696121705421
j7_j22	0.140250742624688	0.26530612244898	0.390361502273271	0.465275953793262	0.577833850931676	0.690391748070091
j7_j23	-0.0151959902462266	0.082687338501292	0.180570667248811	0.310783865967234	0.456014920733602	0.601245975499971
